M,R,Teff,L,Meta,logg,Prot,Age
1.236439454,1.251429692,6571,2.421,-0.1,4.368,4.82,1.0
1.489154115,1.644453653,7105,5.776,-0.04,3.598,0.92,1.0
1.385884654,1.484040139,6890,4.137,-0.12,4.328,1.6,1.0
1.055723104,0.975048868,6166,1.142,0.16,4.407,10.27,1.0
1.087596878,1.055390794,6153,1.347,-0.14,4.471,10.04,1.0
0.925144308,1.070465884,4987,0.764,-0.62,4.611,11.17,1.0
1.298054583,1.386544792,6623,3.111,0.07,4.355,2.03,1.0
1.038238645,0.966126881,6078,1.068,0.04,4.442,10.82,1.0
1.239189408,1.261025617,6567,2.455,0.16,4.3,4.35,1.0
0.832524373,0.719213676,5360,0.3893,0.26,4.38,10.95,1.0
1.115019238,1.07946897,6263,1.498,-0.22,4.46,8.85,1.0
1.052578606,1.038636452,5970,1.185,-0.18,4.521,10.33,1.0
0.849615385,0.73042502,5459,0.4234,-0.12,4.583,10.74,1.0
0.83843485,0.723953999,5391,0.4012,-0.04,4.538,11.2,1.0
1.104012664,1.113392218,6108,1.48,0.07,4.466,10.32,1.0
1.148294241,1.079304772,6469,1.664,0.07,4.385,8.37,1.0
1.044019065,1.051120995,5880,1.161,-0.06,4.518,11.12,1.0
1.146363639,1.099671995,6404,1.677,-0.24,4.431,9.04,1.0
1.08560516,1.12397526,5964,1.403,-0.22,4.484,10.29,1.0
0.895426913,0.860202846,5367,0.5768,-0.26,4.609,10.82,1.0
0.886373681,0.777650727,5579,0.5161,-0.22,4.58,10.37,1.0
0.762092222,0.650312806,5024,0.2634,-0.16,4.621,11.1,1.0
1.052689753,1.050232628,5940,1.194,-0.42,3.936,11.01,1.0
1.161126523,1.180838761,6296,1.852,-0.36,4.481,7.17,1.0
1.37,1.41,6557,3.532,-0.06,4.274,7.45,1.0
1.330926353,1.42673771,6718,3.474,-0.42,3.95,2.53,1.0
1.10691222,1.054293534,6277,1.434,-0.02,4.417,9.86,1.0
1.077787292,1.010880574,6208,1.263,-0.12,4.454,9.95,1.0
0.969684028,0.897279727,5806,0.7921,-0.04,4.528,11.29,1.0
1.288568715,1.399899581,6547,3.052,-0.14,4.155,1.36,1.0
1.183673626,1.198500336,6388,2.006,-0.28,4.442,6.33,1.0
0.999849355,0.960492637,5830,0.9288,-0.14,4.54,11.23,1.0
0.825941503,0.718537315,5309,0.3777,-0.08,4.588,11.03,1.0
1.012390282,0.983721863,5850,0.9902,0.02,3.993,10.64,1.0
0.942163428,0.965708645,5401,0.755,-0.12,4.527,9.9,1.0
1.050870135,0.96152325,6173,1.112,-0.04,4.447,9.62,1.0
0.975819656,0.96591464,5645,0.8563,0.0,4.549,10.76,1.0
0.962287991,0.888932786,5778,0.7653,0.07,4.531,16.4,1.0
0.975154553,0.919946483,5776,0.8227,-0.18,4.554,11.77,1.0
1.15,1.113,6176,1.542,-0.032,4.405,11.53,1.159
1.264,1.298,6482,2.567,-0.005,4.312,4.91,1.289
1.824,2.658,6475,10.67,0.27,3.849,3.46,1.316
1.142,1.143,6398,1.717,-0.195,4.378,1.4,1.411
1.352,1.455,6682,3.766,-0.024,4.243,1.92,1.413
1.36,1.47,6622,3.565,0.0,4.236,2.25,1.5
1.141,1.153,6435,1.866,-0.233,4.37,8.11,1.5
1.208,1.251,6470,2.402,-0.116,4.324,3.04,1.566
1.381,1.534,6699,4.248,0.045,4.206,1.16,1.575
1.298,1.411,6605,2.588,-0.139,4.251,2.74,1.606
1.5945,2.2381,6479,8.069,0.01,3.9405,5.48,1.6441
1.3879,1.6201,6614,4.562,0.01,4.1608,3.68,1.6573
1.329,1.48,6704,5.015,-0.041,4.222,1.94,1.674
1.522,1.928,6662,6.055,0.008,4.05,6.46,1.696
1.289,1.366,6418,2.624,0.031,4.276,24.55,1.718
1.239,1.271,6265,2.189,0.112,4.322,9.82,1.726
1.3655,1.5939,6642,4.515,-0.08,4.1679,3.64,1.7264
1.636,2.178,6174,6.269,0.216,3.975,13.34,1.727
1.121,1.1215,6067,1.539,-0.1,4.3876,17.542,1.7407
1.688,2.578,6195,9.692,0.157,3.84,5.7,1.817
1.497,1.881,6605,5.943,0.128,4.063,3.43,1.817
1.59,2.295,6476,9.191,0.076,3.916,0.92,1.829
1.201,1.284,6550,2.492,-0.21,4.299,5.02,1.836
1.589,2.313,6488,8.928,0.131,3.905,9.56,1.851
1.464,1.781,6572,6.039,0.16,4.101,3.99,1.87
1.281,1.379,6431,2.29,0.03,4.266,12.04,1.888
1.3,1.42,6568,3.494,-0.1,4.243,20.33,1.9
1.44,1.64,6831,4.73,-0.06,4.165,3.66,1.9
1.34,1.48,6520,3.592,-0.11,4.221,4.16,1.9
1.06,1.0,5875,0.953,0.07,4.463,12.1,1.9
1.544,2.173,6499,6.936,-0.03,3.952,3.7,1.921
1.5619,2.1949,6278,6.969,-0.05,3.9485,11.3,1.9241
1.47,1.819,6530,5.568,0.16,4.085,9.42,1.938
1.565,2.275,6446,8.627,0.131,3.915,4.86,1.955
1.228,1.426,6463,3.204,-0.071,4.219,5.274,1.966
1.596,2.393,6341,8.587,-0.014,3.877,5.76,1.977
1.512,1.967,6421,5.368,0.071,4.03,4.62,1.993
1.6081,2.1646,6132,6.691,-0.23,3.9732,18.6,2.0082
1.486,2.858,6422,12.69,-0.362,3.697,5.82,2.059
1.515,2.092,6437,7.406,0.125,3.973,4.82,2.069
1.56,2.0,6728,5.431,0.0,4.03,11.23,2.1
1.465,1.923,6492,6.678,0.051,4.035,2.88,2.109
1.5,2.081,6446,6.152,0.088,3.972,11.21,2.121
1.237,1.33,6374,2.588,-0.014,4.282,8.59,2.122
1.503,2.836,6319,11.41,-0.272,3.709,11.38,2.13
1.538,2.218,6308,7.653,0.054,3.932,3.81,2.165
1.299,1.511,6601,3.72,-0.101,4.192,3.86,2.181
1.493,2.866,6252,11.63,-0.124,3.697,18.4,2.192
1.39,1.64,6892,4.548,-0.23,4.151,2.17,2.2
1.538,2.814,6236,12.97,0.011,3.725,3.92,2.218
1.436,1.922,6491,5.503,0.11,4.027,6.18,2.249
1.458,2.087,6417,6.696,-0.155,3.962,10.13,2.261
1.208,1.322,6452,2.788,-0.12,4.276,4.23,2.285
1.6,2.29,6788,9.2,-0.28,3.919,6.24,2.3
1.4798,1.9901,6235,5.619,-0.2,4.0101,11.36,2.3247
1.238,1.359,6325,2.671,-0.005,4.264,20.85,2.325
1.508,2.024,6214,5.275,0.255,4.003,11.57,2.326
1.444,2.0,6409,5.875,-0.006,3.994,10.58,2.34
1.355,1.573,6392,3.725,0.128,4.176,4.04,2.352
1.326,1.564,6470,4.039,0.029,4.171,3.37,2.409
1.455,2.041,6352,6.585,0.014,3.98,7.84,2.414
1.147,1.158,6078,1.666,0.106,4.37,14.81,2.421
1.4772,1.9481,6193,5.3,-0.041,4.0279,12.89,2.4261
1.437,2.55,6432,10.5,-0.129,3.782,5.12,2.435
1.347,1.738,6558,5.057,-0.152,4.087,4.47,2.443
1.315,1.537,6438,3.949,0.049,4.183,3.18,2.45
1.454,2.049,6350,5.834,0.075,3.976,5.23,2.465
1.416,2.362,6594,9.847,-0.181,3.848,7.09,2.467
1.418,1.932,6400,6.589,0.028,4.015,9.01,2.474
1.467,2.688,6155,9.718,-0.035,3.746,20.34,2.493
1.516,2.62,6188,14.21,0.15,3.781,6.67,2.499
1.248923819,1.813739035,5927,0.8876,-0.46,4.016,21.23,2.5
1.226650166,1.138911676,6423,1.161,-0.08,4.383,18.19,2.5
1.209890248,1.040484532,6475,7.246,-1.54,4.452,4.44,2.5
1.095224685,0.97879947,6123,1.251,-0.14,4.472,18.7,2.5
1.053351422,0.922930565,6038,1.214,-0.22,4.508,21.75,2.5
0.999934581,0.857227336,5931,1.608,-0.34,4.554,17.41,2.5
1.055281042,0.922478977,6046,2.234,-0.2,4.509,13.89,2.5
0.997576351,0.841216706,5944,12.51,-0.46,4.568,5.42,2.5
1.206911162,1.127168681,6363,3.29,0.21,4.386,4.9,2.5
0.96745931,0.943239635,5688,1.02,0.48,4.468,21.29,2.5
0.930917665,0.863378603,5663,2.579,0.21,4.53,18.19,2.5
1.301754115,1.514771779,6350,1.835,0.56,4.173,17.36,2.5
1.181603307,0.967989883,6458,7.263,-1.8,4.502,5.06,2.5
0.96458598,0.872595619,5778,1.284,0.07,4.531,21.29,2.5
1.186588858,1.055475588,6369,3.283,-1.54,4.433,6.36,2.5
0.942410919,0.836257648,5745,0.972,-0.2,4.559,18.4,2.5
1.176420462,1.375973423,6000,0.5852,-0.7,4.218,20.82,2.5
1.192101377,0.942924438,6529,8.074,-1.76,4.526,4.81,2.5
0.917056648,0.782771732,5732,1.496,-0.56,4.605,18.33,2.5
1.179823178,1.075314938,6321,1.328,0.07,4.417,18.3,2.5
1.147734669,0.884263424,6444,10.36,-1.92,4.566,4.78,2.5
1.10156768,0.948201865,6187,2.882,-0.32,4.499,18.0,2.5
1.15843675,1.052369469,6268,4.769,0.07,4.429,11.87,2.5
1.124751556,1.130125017,6053,1.751,0.46,4.364,19.62,2.5
0.862892348,0.861875397,5410,0.4244,-0.26,4.514,23.28,2.5
0.776737136,0.711080059,5327,0.3167,-0.5,4.646,21.98,2.5
0.988526727,0.964334402,5740,1.124,0.48,4.456,21.25,2.5
1.18594214,1.049653582,6373,7.582,-0.24,4.438,7.01,2.5
0.831179354,0.73911034,5481,0.6726,-0.5,4.629,21.54,2.5
1.429,1.896,6317,5.469,0.138,4.036,7.51,2.511
1.404,2.753,6210,8.503,-0.226,3.706,21.61,2.531
1.477,2.61,6211,9.85,0.052,3.772,14.8,2.546
